,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
0,trump,world,court,need,forc,china,germani,much,kill,learn,time,russia,two,polit,famili,north,presid,court,trump,servic
1,presid,new,immigr,work,citi,compani,german,doe,attack,get,would,russian,time,sourc,n't,south,trump,charg,republican,issu
2,donald,includ,order,use,group,daili,twitter,onli,peopl,share,may,/tass/,area,jazeera,life,korea,dure,investig,presid,work
3,administr,histori,ban,nation,report,european,send,think,death,want,british,moscow,around,public,like,korean,white,report,hous,ad
4,state,first,countri,research,area,week,facebook,veri,polic,peopl,britain,march,three,right,friend,two,hous,case,democrat,report
5,meet,cultur,execut,develop,near,market,european,come,die,know,brexit,februari,hour,govern,time,state,donald,accord,congress,number
6,polici,name,trump,water,news,busi,europ,even,countri,first,last,minist,flight,mani,becaus,leader,campaign,law,bill,say
7,action,mani,legal,could,kill,chines,whatsapp,like,sourc,like,leav,presid,near,support,see,offici,report,alleg,leader,manag
8,countri,time,travel,food,last,industri,elect,get,dead,think,bbc,countri,day,campaign,day,minist,news,polic,vote,inform
9,new,featur,administr,new,sourc,invest,stumbl,chang,group,thing,union,meet,sea,minist,know,countri,elect,arrest,american,today
