,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
0,trump,govern,trump,china,peopl,peopl,report,parti,china,trump,china,peopl,trump,would,china,say,china,say,would,would
1,say,peopl,presid,would,north,n't,say,would,say,china,say,govern,presid,peopl,countri,would,russian,two,state,peopl
2,peopl,minist,hous,trump,say,say,would,state,compani,korea,court,countri,new,say,say,servic,russia,north,say,hous
3,state,new,would,compani,polic,countri,countri,time,chines,state,countri,state,countri,first,russian,nation,chines,countri,countri,new
4,work,say,white,say,state,want,peopl,report,market,presid,govern,group,news,time,presid,like,countri,kill,new,trump
5,would,would,campaign,north,would,time,trump,countri,new,iran,order,forc,say,last,new,peopl,foreign,time,report,say
6,new,last,republican,new,korea,two,china,vote,servic,attack,new,say,china,govern,state,state,develop,govern,govern,presid
7,court,presid,peopl,need,could,presid,presid,european,would,two,trump,attack,state,could,chines,n't,invest,report,time,could
8,report,trump,state,govern,citi,china,state,brexit,time,russian,presid,new,time,n't,work,trump,peopl,would,minist,health
9,offic,time,report,make,countri,report,govern,new,product,countri,state,kill,n't,new,peopl,new,percent,attack,peopl,work
