,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
0,2576,735,2870,1196,3162,74,3407,2879,3296,3236,1343,1000,1229,1286,791,3221,2808,420,1435,146
1,2587,3776,3387,1070,3164,1242,85,89,1241,3117,746,1903,2922,66,1682,1621,1017,630,3578,1331
2,848,637,3388,2094,2345,3417,1397,1271,3033,2649,731,3289,2289,3207,177,1079,1166,1850,1230,464
3,2781,1676,2813,3423,3683,1545,1014,2986,1492,2580,3161,3711,2449,2322,819,3052,3306,548,3047,185
4,2806,2673,3727,857,1560,1123,11,3212,1189,1388,3641,3248,470,2707,2641,3521,138,1965,1536,3227
5,1402,1496,3487,163,708,3277,86,2712,3175,856,926,1010,101,2122,1910,3777,1710,1992,1232,1577
6,142,3552,1853,3254,2006,220,650,2730,2495,211,1969,1664,3346,1985,1565,1673,1711,1848,2010,2802
7,2811,1152,3403,1971,809,2125,2242,1464,794,721,1453,1432,2272,2589,3735,62,2066,3516,2459,895
8,2443,100,2110,1093,3184,3662,2931,152,1077,1812,2689,1315,1484,3712,837,2398,941,2945,1745,359
9,187,889,3661,1401,1438,3665,2112,1363,126,1144,3159,56,2188,2077,148,3071,838,184,1225,1258
10,1687,83,3389,3706,3004,756,3124,1261,2537,1145,2944,2631,592,289,1799,3131,2747,345,2013,587
11,1458,3034,2314,2482,3203,1295,3682,1524,37,1391,3029,1511,761,2209,1248,1119,816,120,2429,2769
12,760,2609,1107,172,202,2964,1707,3358,713,551,3357,2173,1725,1451,858,2229,3619,383,737,429
13,783,3721,109,736,2712,3584,3242,3606,1250,3478,3420,1574,1061,3574,2346,1323,225,2294,2012,801
14,843,116,3062,765,216,1997,2243,1235,2211,3735,2068,3565,3347,2522,2570,638,890,1290,1548,2152
15,2209,2989,3566,2080,1619,3589,1395,1142,3310,2294,2435,1522,1555,2534,828,744,2387,2081,2219,344
16,1350,2338,1740,2297,1500,3556,3214,1348,1605,2553,2865,2409,2184,3290,821,1508,147,2221,2494,1803
17,121,267,1996,2215,3730,3374,1563,2445,2075,1594,2685,2060,1957,2793,2540,2395,2340,465,2594,3165
18,2252,220,2401,1099,2878,3327,2895,165,193,543,2916,3204,625,1579,781,3480,159,623,2011,3531
19,784,1789,1421,638,3225,2790,1497,251,2921,157,1907,2320,2262,2131,2036,2704,2826,1545,2630,3353
20,1020,1904,3542,2574,1586,3586,3430,2981,665,2773,2638,2082,451,2318,476,2968,1933,6,1113,469
21,2035,2383,1872,3429,2648,1905,3323,3694,773,1601,814,2200,1690,174,1564,3636,3528,393,1539,533
22,165,897,1739,788,826,2022,834,1561,2474,1813,3480,2626,2475,2923,827,1713,1472,2607,794,389
23,3482,1936,3582,2486,1371,28,3209,243,3100,120,2962,1523,2732,945,203,3313,2896,898,1540,490
24,645,921,1855,2148,1022,2833,3421,2741,1135,344,1399,1092,256,3518,846,2103,3328,387,2121,466
25,1975,1859,3718,2491,2232,2593,3581,1081,3561,371,3125,2232,3526,3650,1917,3227,2908,3246,1433,3036
26,1193,2956,1517,131,3109,3250,3026,1807,3695,1556,1305,3160,3233,3181,1918,1543,1950,3734,1728,2601
27,3695,3648,1877,155,2832,2662,2293,3035,3563,458,1138,3473,414,2155,2942,253,1793,198,931,394
28,3784,2595,2841,3087,3018,1131,1849,1981,2695,3001,1939,3191,2341,1394,166,2861,657,2801,368,199
29,208,1610,3192,2464,137,33,2412,1613,3293,1293,3009,1394,3021,3401,2727,2949,2663,388,84,374
30,169,3379,2017,644,2254,2321,2588,2898,2758,205,1843,2107,382,1174,792,81,1602,381,725,341
31,771,1802,3133,2520,1043,3291,2304,2613,681,602,3157,252,2100,1920,789,2969,3237,177,2248,586
32,769,266,1203,830,2037,2220,1784,254,1512,550,3679,2027,2773,2327,800,2987,3426,506,2335,545
33,2105,317,3486,2284,1529,1450,2725,1798,732,840,3445,2420,425,3027,844,739,1825,2048,3201,789
34,1724,2567,133,634,3600,2937,1288,1733,3778,122,3631,2851,1683,3180,173,1256,1386,589,734,872
35,174,2583,2503,1098,3314,1122,828,1346,201,472,3474,3032,628,1081,2451,970,2900,342,88,347
36,1254,2300,3710,2005,2995,1723,2531,2642,2917,3581,3670,3213,2351,1392,3424,71,1856,3636,2935,606
37,214,3654,3173,1798,1794,3737,2330,978,3120,448,3628,242,924,1836,1527,2927,1965,847,156,512
38,144,2666,1900,176,2590,2852,1974,3019,3363,492,952,972,1485,3012,3168,2724,2883,351,3646,2041
39,811,3642,3088,3425,2954,3263,2567,2051,3252,456,1306,18,1481,1624,2731,2989,3420,3719,1534,387
40,1146,2243,3135,1720,87,2683,2868,1119,2304,2386,681,2495,1142,2592,160,1124,2073,1748,3657,350
41,954,2550,2518,3050,1894,1669,2296,3174,3658,2261,1707,3373,1073,2117,412,1354,1580,3282,769,487
42,3653,1738,1867,790,1884,3053,3677,148,3469,2399,3535,3678,564,3475,2801,2173,1367,1018,1439,2573
43,1371,2360,1105,1084,3425,1505,155,3742,1253,137,2659,1868,498,302,428,2854,1941,346,3504,451
44,133,1102,3472,798,1910,2504,1090,2951,1455,3353,1607,3261,766,3103,1459,1208,810,350,3673,626
45,2484,2172,1304,2603,3138,1670,2164,663,202,617,1376,3521,3519,3157,522,252,3610,1073,1337,510
46,3105,3105,1636,3603,3758,3276,954,223,2707,620,3416,3714,355,649,802,2534,3096,1501,1069,349
47,3732,2137,1946,770,854,3401,1082,1071,2408,1779,2984,161,434,1077,196,1575,1033,3680,1454,368
48,853,902,759,3739,855,1651,390,1556,1102,587,2177,32,744,1535,833,1988,2287,1835,3294,561
49,213,3077,1852,1915,2795,1217,2286,884,693,2755,81,2055,3329,2438,2599,1342,1696,1489,3524,231
50,1150,82,3567,1763,3223,1193,244,2866,3380,482,2180,1345,2662,2433,659,50,2257,2568,689,542
51,189,1616,1549,1287,1456,2524,3739,2075,71,394,2928,3109,2445,1810,3427,2391,1100,3367,679,541
52,186,2399,1761,2750,2253,2295,1881,2656,2987,3572,1973,2563,2260,2621,520,3715,1811,1234,2668,2040
53,2880,2151,3699,1249,1531,957,3384,1453,2661,514,3241,1642,348,506,2950,3204,3334,2403,1694,3345
54,2259,287,3698,2343,1021,2985,3418,802,1812,1130,885,1295,507,2651,3623,2444,1831,3381,1493,1278
55,1149,2134,2822,2757,2236,1288,1684,119,35,1513,770,2873,3525,359,3604,1902,3564,575,2830,591
56,1013,1048,3726,2002,1452,2979,2129,3548,3757,3731,3014,2722,2015,2530,1569,3719,134,3218,2164,1066
57,2674,3673,2829,2096,1826,967,1970,3176,3599,1685,3186,1402,577,2709,1488,2784,1264,1578,2625,1065
58,3527,836,3433,3012,3303,1921,2312,1508,2546,426,641,950,1147,3671,611,2126,2606,3703,1226,139
59,2468,2874,2699,2384,2948,2716,2999,1283,3090,2086,683,3585,1148,255,2775,556,738,2671,3246,2538
60,2634,226,1436,1004,2816,2831,325,2457,2261,831,2071,108,462,2716,118,2693,3603,3495,1506,2034
61,2442,2691,3717,2098,1880,2809,2380,2458,846,393,1033,1427,562,3213,3481,2637,324,2603,3236,473
62,1567,2205,1764,3130,1151,711,2633,1744,3691,388,2533,1326,1488,2383,3609,3783,2224,1120,2692,2187
63,1353,3448,1519,1623,2344,3028,2641,1977,821,389,2212,2998,1678,1639,2390,731,3228,1838,643,372
64,2846,3043,666,2084,2124,1892,724,2267,3297,842,3371,1455,345,1780,513,3432,3317,474,667,1173
65,2638,1995,3149,3220,2629,61,1344,3126,2378,2879,1030,2688,1487,2834,1800,3069,335,856,3405,618
66,3308,1670,3392,2382,2600,2623,2194,3718,2174,631,3658,978,508,2419,410,1720,3090,2381,3479,883
67,2256,1197,1952,776,2883,1498,1512,3747,1632,578,1509,3703,304,59,3021,2694,860,1510,3781,1787
68,2417,1618,2629,3076,3543,1004,1084,2889,1538,3122,2973,3147,1281,179,122,2955,787,837,945,78
69,123,2158,1866,2202,3167,3269,1597,1347,3693,340,964,2579,903,2473,3169,2048,1792,2018,2593,585
70,849,1617,1870,3201,842,3283,3650,1750,2675,373,3301,1785,2074,3596,825,1727,2659,3598,1886,552
71,3222,2868,3746,3731,2963,2836,2101,902,3724,419,1598,2231,218,1346,804,3046,781,1650,3319,216
72,1534,1596,1993,952,2596,2004,232,903,1180,3000,2636,2245,1366,2014,3224,3516,1916,3288,1153,2738
73,2374,3652,285,1298,3624,3245,2469,2112,1816,3209,2911,2575,1277,3406,1277,3195,1477,3129,3522,2768
74,807,3073,1518,1015,2967,1433,2888,2515,3728,99,2637,1600,551,2711,2546,1126,2680,406,1434,588
75,3774,1078,1827,633,3780,2860,1134,1925,1478,1907,1177,1834,2585,2519,763,1633,1372,497,1252,548
76,2139,1429,733,2875,1250,1603,517,904,2992,1917,1743,175,1063,2800,153,1865,157,1653,1450,3609
77,1679,1873,1218,3550,135,2349,1499,2784,3553,1918,3099,1002,544,3190,2728,1627,3038,1779,3780,861
78,3245,2234,1612,1681,1595,2791,2130,998,815,379,3354,968,812,3368,3186,66,845,1332,1330,558
79,2385,1005,3189,2037,1976,1974,1835,643,3177,3498,2063,2590,852,3075,777,1284,1765,3132,3103,449
80,183,1467,1120,2733,175,914,1532,2446,2356,3349,3485,990,3351,2186,1289,2807,1165,3061,842,1956
81,2876,2633,2920,2917,1190,32,1447,2672,1100,3437,3470,2332,2166,3145,3525,669,1599,3585,3517,385
82,1095,2026,128,2588,2661,1778,196,3001,3600,410,3274,230,1776,2227,976,296,1259,251,116,3233
83,1174,1365,1216,1721,3606,523,2451,2644,1129,1611,1344,2672,1405,2915,1042,1236,3083,2240,30,413
84,3396,2593,1443,1829,129,1850,3191,2461,1847,206,3020,1525,3219,2927,559,3663,2373,423,374,2886
85,3083,3488,3155,1998,831,271,3534,3242,2840,3129,2571,938,2772,1466,787,3664,988,1283,3672,430
86,1582,2611,1357,215,197,3716,3590,1258,1036,818,2134,1235,2225,2794,3119,2982,3465,1061,1057,878
87,2543,1787,1741,785,3276,2400,169,776,1480,310,2843,723,3544,3647,2348,2839,338,2326,3247,609
88,840,1244,1759,1969,72,2078,1794,2941,3099,507,2977,2528,475,135,572,730,2820,2517,2064,2191
89,3218,950,3390,2571,1608,2112,2281,1160,850,1809,3253,1676,2742,266,3200,2677,2471,3350,414,2357
90,3336,2990,3222,3466,849,1317,1753,1906,904,2403,3419,1507,2298,3285,1147,936,2958,3508,788,343
91,1815,2555,1762,3774,186,760,367,307,3457,505,3769,726,352,3520,1148,2438,3123,3512,3372,427
92,780,2293,797,1840,839,2955,2529,3743,2757,3300,939,274,835,3595,1221,2783,1398,3491,3511,995
93,151,2467,1755,3265,22,3270,2204,2549,1221,449,702,16,1752,2430,201,3366,3178,204,867,2743
94,2343,3117,3253,1252,3713,1643,1042,1443,804,1955,1414,1627,1409,2926,975,3779,1832,2201,748,1579
95,1144,2141,3733,1642,12,195,3681,1300,3272,1630,5,966,589,1210,3725,3668,1929,2604,603,723
96,1145,935,1631,1837,727,1639,2644,79,1864,3633,3551,652,2776,1405,1290,2496,12,3372,92,1239
97,1863,2019,667,3066,3209,3493,2193,832,3072,305,1407,2624,433,3409,2646,3060,1164,477,2771,416
98,1843,2390,1987,3475,1985,3694,3644,3194,1136,692,2251,1365,2584,13,1960,48,1135,20,944,581
99,2160,2115,3782,778,963,1292,1735,1841,1246,311,2437,2706,670,2329,613,9,1444,1957,2058,488
