,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
0,3142,3467,3390,3240,2045,2624,2745,2454,433,1703,26,1038,2047,3325,450,1980,140,3771,1083,3116
1,1768,1186,2812,3370,2264,2652,3097,2352,386,2313,2007,2480,2123,280,436,3367,2034,1595,3786,688
2,2319,1738,1114,205,679,44,3422,3626,579,1035,2091,338,2895,2337,3101,3298,355,1356,1199,1515
3,3410,910,3134,1726,2709,2691,1363,2666,714,3007,3,1383,3060,3744,3764,964,625,3543,3025,2238
4,2239,1691,3267,725,3535,1766,174,2507,2042,2646,2563,1358,1658,1339,2875,850,210,1492,1966,2221
5,2505,2201,1878,1144,712,2740,800,2552,510,3004,2263,3332,321,2026,442,1294,3736,1605,1734,2220
6,2724,11,2410,1497,1370,695,2629,2412,513,270,1116,2848,2594,112,1680,85,782,2441,2941,2132
7,1851,2561,3700,3012,944,1117,2252,2562,432,2446,3706,3317,2534,599,1254,1903,2450,2435,2920,311
8,2974,2550,1934,2649,3498,229,733,3590,458,2407,2591,1031,2282,1088,2882,3343,1569,2494,3355,1991
9,2090,330,3582,529,1892,2478,3023,3583,468,142,1499,259,1152,1009,927,2989,3529,2917,1981,1594
10,2687,3434,1222,2679,3394,68,243,2360,580,121,2461,1831,3673,1677,824,2930,206,1586,633,2838
11,2107,3191,1106,2393,45,2622,200,1467,475,759,2289,2370,744,2003,3311,956,185,1976,1287,2520
12,2686,1397,2698,491,2590,3074,2368,2530,2191,843,2559,1570,86,1161,2374,97,3609,1438,2634,2295
13,642,2807,3136,1458,2987,707,1814,1498,3036,3735,949,3040,3516,889,795,1005,763,3480,978,2284
14,2305,3130,1502,1684,2595,2324,337,3574,350,2445,2055,1162,3539,2956,194,2931,198,2438,987,1448
15,3049,2746,1518,1733,2571,2237,784,2389,1489,1142,3437,2168,2113,750,193,972,1248,1945,3547,2233
16,3042,2568,1930,3645,398,758,2600,2208,382,2260,2098,1931,2904,103,132,2635,777,3469,1785,1613
17,1874,3776,1423,2508,1119,3272,1350,1811,1697,202,1986,1403,2625,687,1357,2363,3732,2204,2672,2570
18,2839,1256,1783,3190,3380,2303,1167,2609,389,144,576,2471,101,1012,3186,1422,2642,2493,1974,1123
19,2873,1394,1521,287,596,2615,862,2433,2015,2543,2572,3237,100,1030,3530,3159,2802,1790,2949,1611
20,3382,3554,3133,3077,3553,37,2554,2151,342,2253,2497,3624,1562,267,1455,2459,184,1529,2081,3300
21,3416,1967,2796,2225,358,2029,2257,2286,581,2641,2171,1933,1708,2158,183,689,3427,1480,1068,1610
22,3724,27,1731,2288,1799,2586,1069,1699,1067,3031,1206,1368,277,3085,1487,1683,2144,2602,3484,1995
23,1624,2712,3699,3371,737,3014,2043,2300,485,2825,2575,2466,2250,1365,794,1110,3168,1826,1183,2308
24,1988,738,2364,2922,739,2648,802,1670,190,129,2532,1165,2722,1072,2506,1561,813,2468,1010,500
25,1109,1221,1211,1149,2224,2173,1409,2396,598,2954,871,2287,3145,2060,542,1302,131,3718,2083,2285
26,2496,3519,1876,2512,1963,1534,833,2589,1062,829,2498,860,942,2469,825,479,839,2378,1282,89
27,79,3453,1761,3468,3286,3157,773,2567,1960,7,2272,3754,3112,1044,3521,3616,818,3551,1084,2307
28,1742,1859,1871,852,3419,3208,804,2373,1277,975,3608,3761,1036,882,2541,2910,135,2267,881,2627
29,3229,3788,1668,2837,439,2338,2162,2611,423,2359,3199,2366,2593,1429,2402,1578,826,1530,2960,3257
30,2328,3091,3566,34,3545,713,2948,2467,1803,2970,1999,3100,3039,2336,3032,333,1013,650,2986,87
31,2391,892,1900,1146,2212,3289,186,3228,2187,2905,315,988,3323,1748,2448,1404,143,1446,1623,1554
32,77,3117,1818,414,1893,1689,1378,2166,477,2756,262,3334,2902,3361,2261,116,837,137,3643,1004
33,3713,289,3542,2907,3065,756,1883,1723,856,2299,19,1386,278,902,3762,3337,201,2079,2677,1437
34,2397,2583,1154,3425,2658,2861,2453,1173,545,2967,2509,324,2765,1478,2190,1239,1020,2779,1722,1440
35,3075,2028,3487,3731,2897,2912,954,2588,429,1075,887,2159,1780,2331,2160,1313,152,2992,3108,82
36,3647,1346,1112,2080,3070,3709,1449,1765,506,2451,2510,2896,2704,2751,396,3490,156,2928,2197,989
37,1664,253,958,370,3655,64,3058,1805,466,983,2082,1177,1919,3181,451,1414,1687,1880,561,3482
38,1724,898,1837,2946,2027,282,933,2673,345,2753,968,2824,285,2729,591,383,216,3720,3483,3287
39,2203,2991,1519,2251,2248,3613,2757,2383,592,846,2656,1027,2312,328,863,1821,827,1822,1086,685
40,2674,1834,3698,1614,3407,2890,1457,8,3233,928,329,3178,2114,3034,3078,2424,2879,1414,990,1469
41,3260,1829,3717,1280,359,1858,3741,3722,426,2701,668,2814,870,1510,2608,480,157,3102,2744,2405
42,2490,2893,1228,3166,238,907,3537,2462,547,702,3491,1704,2936,2128,407,1412,3224,1894,2933,2119
43,2872,273,1952,478,3366,1133,3611,3209,341,2891,560,3610,3753,266,2884,3259,3431,31,2968,3061
44,2693,3448,2717,452,1895,735,154,3236,463,3197,601,35,1791,1157,212,962,1917,1576,3392,1997
45,2077,1048,2317,3167,515,2619,1500,2618,1293,2815,1953,1696,1544,1040,3301,2670,791,2511,3622,3329
46,2332,2268,3403,2566,401,2125,1563,2310,1787,821,3303,2472,2502,690,793,2027,164,3092,2087,3024
47,3297,1690,3726,672,1473,2231,3435,1688,430,46,494,3333,2937,3415,2346,3001,1678,1862,2969,57
48,1975,1904,1739,2085,1475,986,2597,3648,2381,1042,2688,1135,2972,2621,536,264,1798,3474,1713,2592
49,2103,254,2782,2136,481,3540,3203,2302,413,3162,559,2073,2178,17,615,1880,3218,1425,979,1599
50,2219,3148,73,3244,1589,3402,244,736,393,2951,2547,3177,2357,2024,629,474,789,3354,2487,314
51,3046,92,2361,3139,1322,3763,3384,1603,2189,976,920,1816,3729,88,2372,394,3165,1971,2924,1090
52,3563,3646,2353,2849,709,1943,1899,3207,1474,1021,3193,1033,3623,220,374,392,2647,306,1735,2842
53,3500,3499,3271,381,2291,3005,3444,226,3352,365,1413,3757,1771,296,1456,1043,3600,2249,1655,2229
54,3479,2544,2325,806,1451,3625,1168,3571,2048,812,2156,1833,711,1813,2599,3421,1252,2564,2422,1754
55,1077,2858,3676,3748,2104,3714,219,1555,420,173,951,641,2957,1597,772,2181,153,1746,3243,2819
56,3470,1461,1760,3347,3118,1379,1362,861,2585,974,600,925,2668,102,217,3678,199,2484,3215,504
57,2385,884,2001,1725,2155,1782,130,3766,405,3169,1821,1463,2318,1359,211,1178,2733,197,1194,1559
58,2783,1773,3135,340,1374,2320,2598,3534,388,2414,1401,2908,3151,997,124,1681,120,1291,2955,2290
59,2134,3079,1132,3604,1176,245,1384,3156,94,2995,336,1884,2115,1454,1434,1320,769,3787,1188,10
60,1632,1849,3155,801,3409,1693,239,2399,582,167,2463,2755,3006,2871,692,276,177,3247,2388,2326
61,2923,240,3568,2915,3258,1511,3314,2149,3296,1965,593,3090,1122,3158,849,1145,1685,3755,3587,1774
62,2778,1247,3068,1750,1622,1008,2161,931,1065,2548,1275,1050,3405,723,823,1148,146,1675,3663,2705
63,2075,269,3088,874,3231,2426,169,3043,424,1681,1582,1924,3715,1126,2365,1918,2878,3758,2809,1772
64,1284,3580,1212,3730,2273,1730,252,2555,352,3696,572,3123,663,300,1795,2458,1560,3658,1973,2421
65,1070,1373,1740,3359,3021,2334,2862,1025,546,2942,3565,2749,3294,2214,2415,3664,2768,2380,1612,3278
66,3363,2262,3173,535,2966,1179,1258,1288,549,1824,3266,3293,2932,1864,808,286,133,3083,2093,3667
67,3550,223,2822,1800,568,1345,3739,2137,1809,2074,1652,1710,1932,2427,811,3204,2727,2689,2292,2031
68,1596,1558,3486,3225,2763,1523,805,1792,627,766,1087,1389,3694,1850,3637,1822,762,2006,2565,310
69,2495,235,1418,3652,724,3106,2697,2483,558,3013,667,2169,2887,41,914,2752,1061,1102,1273,1312
70,1720,2086,2314,3393,40,3413,3461,3214,1956,855,666,2174,2997,1937,123,3756,1246,134,1835,1706
71,2921,3454,2329,421,669,1324,1804,3035,1959,1147,498,3072,3114,3678,1483,1051,1459,3018,3322,923
72,3650,3174,3701,492,1255,3176,1190,2413,1063,2339,95,1342,1361,686,1355,1705,1014,1841,1396,2738
73,1196,2536,3433,2976,2794,2714,3385,2886,467,2617,588,1620,2056,2945,554,379,2580,1727,2010,3129
74,1198,1925,3567,373,2748,108,1421,2662,1059,1245,2775,3038,2184,897,819,2858,3080,151,1528,665
75,645,1585,3689,446,3679,2690,984,2293,2952,1049,2228,1538,447,4,3677,2278,760,2347,1728,2425
76,1271,316,1213,835,2620,751,175,2644,3593,1096,973,1950,1779,960,2596,1862,191,2883,3238,2603
77,1137,2889,1215,147,640,1673,3760,3773,3198,799,3682,1580,3703,3559,858,3221,473,3779,3782,1074
78,1608,1023,1972,621,3783,111,985,2281,1290,2723,257,1909,1369,1926,778,1749,2040,138,1028,2797
79,3248,284,1852,1410,516,2379,878,317,1955,3531,489,3195,3502,3721,2546,2943,139,3581,1432,2799
80,2021,719,2296,457,966,3627,162,2277,3358,168,3063,3205,747,691,3220,1229,1349,43,2030,3578
81,2486,1784,3066,2804,3051,3702,3450,2194,474,2971,3265,2900,3150,90,196,1965,3525,3126,1776,945
82,1494,3523,1872,779,1305,1125,659,1840,734,176,2771,1939,3107,1590,275,2922,781,3778,3064,3495
83,1619,251,1520,3338,1139,399,1951,1200,604,367,2953,900,3185,2725,2877,3578,768,1682,2011,2639
84,1843,913,1758,2036,3561,3691,1156,3642,2769,3189,639,1793,2888,1545,2464,731,2148,3511,969,3633
85,2202,1616,3281,339,308,1082,2226,1881,1556,2449,2244,331,2516,2868,622,-1,490,2587,1548,3492
86,2395,263,2482,609,2612,221,155,2654,1276,1251,1642,3138,486,3160,1592,-1,460,1985,1330,2018
87,2398,3137,2110,1430,1948,1705,2582,912,539,940,3684,1602,1051,921,2994,-1,2145,3188,1439,3544
88,1360,1026,3111,2380,1329,845,141,1846,1962,780,2418,2996,2558,2852,1130,-1,3309,2915,400,3506
89,1079,1057,1236,124,1387,1364,3082,1789,2150,2062,318,107,2854,1598,1153,-1,1912,2390,556,2623
90,1402,2130,1654,3242,1938,3464,3163,1392,3348,155,1490,3308,2459,3026,400,-1,924,1729,1122,1998
91,2209,878,1436,2742,81,3213,517,2529,3738,3230,1481,2066,2853,3295,2147,-1,840,1767,2614,1311
92,638,3105,1626,2431,2926,1315,1163,3011,1485,2584,3629,1711,1160,2129,767,-1,1564,939,1944,1896
93,3473,1191,2109,2501,2235,2419,2050,1462,514,1034,163,2038,1625,2330,1460,-1,166,3109,3644,740
94,2784,2097,1823,2880,2754,2430,2787,3630,872,128,573,1301,1797,1453,411,-1,618,113,291,3404
95,2676,3513,1946,583,2063,909,147,1615,1786,326,675,2958,1327,2392,2068,-1,623,2474,3285,2798
96,3417,3098,3062,3787,67,3532,2971,3094,1495,3424,333,661,84,749,544,-1,3481,2947,2569,503
97,2631,302,2411,2470,271,3674,1464,1936,1000,1156,2528,952,877,297,783,-1,209,1847,2089,443
98,2485,2072,1214,3785,999,918,2062,1970,613,670,660,844,3585,12,1016,-1,590,680,3659,2607
99,2781,2436,2222,636,2513,1807,1927,2844,66,22,3331,3096,3227,1802,126,-1,2735,3103,1190,1298
