,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
0,state,make,report,presid,presid,state,even,state,get,report,get,get,two,two,state,make,make,even,state,report
1,report,becaus,could,trump,state,report,make,could,first,first,first,life,get,call,report,first,state,make,presid,last
2,presid,state,last,report,trump,presid,could,last,make,could,make,first,last,report,presid,even,two,becaus,report,state
3,could,could,make,donald,donald,includ,presid,report,even,last,even,thing,first,first,trump,work,even,come,trump,first
4,trump,day,two,state,report,trump,state,two,two,state,two,make,make,use,call,get,onli,get,call,make
5,nation,even,state,last,nation,last,becaus,countri,work,make,come,even,day,becaus,could,onli,take,way,last,presid
6,make,onli,get,make,last,two,trump,make,life,presid,way,way,take,state,use,day,first,first,nation,could
7,last,get,first,campaign,make,make,take,presid,day,get,mani,two,could,befor,told,mani,trump,take,includ,work
8,ani,work,even,american,call,use,last,use,onli,week,much,know,come,make,includ,way,befor,onli,ani,two
9,countri,ani,onli,week,republican,could,come,onli,way,includ,want,want,even,includ,two,take,call,could,could,befor
