,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
0,7982,16723,15721,12047,14226,10990,12693,16999,12040,18783,8185,19303,11889,21857,10156,26305,17921,21340,11809,10057
1,14881,25721,24442,13009,21373,15621,17882,27360,18307,21869,11236,39970,19336,23968,12873,28270,19232,23331,14278,11797
2,19020,42413,45912,14061,24407,18344,18785,45827,22492,23469,14828,39989,30000,30751,27454,30936,23915,30226,21435,11888
3,19802,43586,47014,16256,24764,24229,19521,46063,24821,30977,15467,40095,42766,41975,30320,41800,32540,30613,21751,17421
4,45985,46588,47015,18691,27843,24459,23998,46277,28628,41653,18372,43455,45555,43651,32923,41994,42116,44389,22653,19511
5,48362,46830,49999,18807,46960,26993,26529,46512,30610,44376,19607,43456,45742,45758,36294,46299,45951,46375,23227,22175
6,53747,47160,73845,28788,47694,29463,26557,47084,39842,45285,20083,45899,47253,46406,46016,46663,48015,46964,28834,23668
7,57969,48046,116322,28827,48017,29811,26578,57854,40216,46907,23133,45960,54343,46503,46836,54765,48476,53074,28945,27872
8,59590,58335,118611,31532,48031,49809,28372,58288,40390,47978,24401,47270,59670,48292,52086,60272,58461,53400,31104,29813
9,59649,60332,118665,45532,61650,58107,30562,72968,42067,54351,24571,47544,59841,49629,57649,61676,62775,58637,42367,30057
10,61077,60757,120337,46373,62219,58839,35789,78128,43101,57022,28582,63836,60066,59359,59163,63157,63283,59789,42783,41515
11,61468,61620,120641,47161,63262,59067,41409,107268,45620,58387,40562,64247,63803,62247,59592,72829,64519,61082,43659,45332
12,61517,62119,120974,57045,63830,59443,42900,107623,63724,59489,41576,66326,70418,62773,60239,73820,66328,61361,44052,45403
13,62002,62627,121601,61065,63882,59707,46766,111932,64833,60865,41657,67952,71100,62992,60253,85270,69101,70845,44439,46215
14,62608,62668,121652,62123,68531,61856,46987,112112,108064,62004,42993,73388,90593,63185,63371,93379,76445,98172,44607,46460
15,62664,63054,124207,65156,73575,62734,47882,114760,108406,63623,45062,73458,92561,72711,63707,98044,79320,112427,45888,46554
16,63650,104093,124941,65573,85496,64329,48679,116774,114154,66535,45269,100682,92676,74382,93080,102209,83116,113513,46754,46560
17,70378,105347,125382,66430,103833,64637,58241,117313,115903,94590,47948,102478,95518,81911,104193,107582,101819,114209,57093,46674
18,78723,107659,125537,69098,104472,65048,59418,117508,116196,102944,57729,107158,103380,86145,110938,107991,108023,114692,58396,46935
19,93406,108756,125982,71072,111907,65301,59986,117826,116704,104227,62935,107422,105316,87190,111473,108379,115868,115598,60206,58072
20,96122,109682,139130,72940,120884,65940,60241,118211,116843,107015,63941,107539,109515,87360,113682,110606,116085,115659,60532,60818
21,96756,114945,47642,73146,121311,72953,99977,119622,119482,110068,64752,107992,111880,87761,113770,110874,116447,116430,60747,64088
22,103812,125821,47078,73295,121810,76282,113516,120703,120227,110721,64959,108411,113267,88247,115290,111312,118897,117961,61516,64294
23,104628,139437,68278,95296,122404,78898,116535,120793,122237,112673,65360,113050,114372,97791,116458,112478,119386,118258,63785,64520
24,105726,20731,48594,106454,122758,96312,117864,121984,122269,113358,69065,114416,116538,104153,117408,113505,120213,118374,64894,64867
25,105744,78709,53111,107113,123833,105055,117866,122026,81372,113840,89649,115262,117491,106513,118624,115400,120223,118884,66057,64928
26,106323,63302,48181,110661,124073,105398,120344,122621,83517,117516,93523,116216,117597,107597,120117,117478,120254,119452,68250,65153
27,106484,25610,29205,112672,124783,105787,120810,122768,44753,117582,102656,116446,117701,108668,120938,117626,122434,119786,72041,65374
28,107719,16664,96006,113174,124895,107089,131563,124234,59975,118344,104231,116908,117817,110404,121627,118304,123013,121000,73152,69102
