,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
0,41401,138894,11599,38468,6170,105323,63608,14733,133402,13005,1171,37521,33123,38933,20233,24727,79644,57574,20630,111356
1,37243,114934,87712,4696,43795,32631,72243,94972,134095,16191,38100,34284,133207,105928,54197,137612,103799,57250,83060,18399
2,46909,60925,32125,31497,46085,32681,97181,59059,67059,89380,69413,98216,32617,103669,10846,23375,84583,28511,48008,25318
3,46002,89626,87801,100327,45337,39013,23939,40268,44198,31555,70172,101983,33820,22760,27608,75307,80366,29991,77838,8719
4,41402,38885,64292,60467,46337,96971,44296,83691,96547,18235,108199,111396,80739,45900,11994,42664,91223,110036,70755,79055
5,61134,18661,82634,37789,66628,103983,61623,61367,84106,93414,69909,9323,58062,128103,23295,97313,66738,25195,84088,43418
6,66873,102383,64721,58608,45332,49804,25444,45318,67079,22860,55620,36933,97124,90288,109847,75666,78587,60494,70462,56337
7,106946,54217,13989,31396,51939,80928,131933,9888,34536,20437,57068,102464,84158,78533,11942,73185,83196,74230,123714,52623
8,46626,101993,43347,96045,130053,24087,86587,84658,95412,28664,66353,41003,101887,78086,18693,31158,58362,140159,78960,56528
9,91841,36145,9722,105001,135992,114432,81035,89978,34775,28780,63891,77704,84590,85684,30248,54127,86937,26087,47808,105085
10,83612,92202,10210,136904,45550,112716,114299,130744,35088,29472,69572,140611,107306,115483,15218,73218,93895,37240,83361,19454
11,106441,59117,25808,115658,46049,12466,53407,141400,35350,54410,67340,49718,67323,57285,41122,75533,94192,21404,82110,51233
12,37798,102257,27883,90306,91264,110026,62464,141483,34563,55399,70482,140315,37190,78725,14027,130796,91918,57752,67989,89086
13,81982,103110,14339,81359,55304,111712,33316,23637,108033,22871,52786,84234,44868,107202,111551,137683,68140,64601,52643,13178
14,77325,122090,16068,57970,41067,113042,50373,47580,35343,63077,63060,48556,132420,54857,26619,21503,77623,127915,67015,14504
15,93066,5668,65380,18952,90166,86781,12436,72506,67852,8905,45834,52171,43883,88816,13614,64024,83084,30899,120849,56508
16,86411,94819,81169,95680,46727,98046,44108,10164,62752,53077,21283,20,36682,9222,96668,19193,103973,109313,47227,110268
17,57297,65869,13490,36173,61264,32584,62462,78498,63361,64381,68103,85988,35005,105540,30637,35753,93624,127906,2462,54793
18,69602,102127,14642,138385,82101,41465,43890,15783,63840,70993,66672,48015,35255,44860,9483,75629,66647,25381,84348,108690
19,78812,139507,28137,100345,83015,103809,62355,24891,35323,29500,113757,49354,62996,108760,29946,30579,48585,25223,49036,56646
20,89044,4050,8776,35870,135337,89968,12238,115730,44906,51045,67949,114354,85414,124598,20866,132795,61317,26851,94037,52717
21,81929,140591,64950,12545,51720,89501,134037,31425,62155,19499,53985,44328,94845,141326,107840,7254,94873,57328,44637,133031
22,137189,58843,27868,41031,47025,86381,127689,141390,44995,8803,57845,25448,117387,40727,8503,52081,41464,18497,91685,107128
23,82639,69213,64485,80364,46501,80576,58028,28681,63807,12595,86454,85278,82807,68934,8302,73388,87760,38557,48201,56674
24,103064,27632,24073,23830,94596,108943,47954,19961,63568,29163,51569,86250,120800,127736,30395,133063,108575,48059,86826,58936
25,81152,91329,61696,58541,48031,126360,82954,8483,141256,137686,62917,36855,32479,7103,16264,33336,93032,30127,92035,55879
26,111601,81955,80009,138945,89596,80649,92731,16705,34862,27705,67568,68287,35039,87294,18849,73255,82366,49204,83831,52137
27,37285,55610,14392,136351,93605,45439,84879,62008,133289,29516,67520,41242,44784,80286,12095,2114,91162,16165,123576,136749
28,80444,105186,130680,49357,140443,114750,15389,73032,44992,22579,3108,82768,102007,106042,8488,53979,138867,57578,47564,11160
29,128536,57540,65745,134401,93471,129227,43200,15953,62601,59754,31904,59658,32464,17783,28625,39000,558,60089,86800,50446
30,79507,70636,44260,115306,113420,49901,85213,39604,35092,63076,96081,81554,83450,69058,9080,39036,78059,128872,79955,95524
31,109920,48605,47780,57173,109120,113643,63613,11715,63759,28205,68106,49294,134996,69039,24652,68046,80992,58402,80335,68414
32,81827,99706,8672,58665,8247,126766,82033,88085,105973,25246,69906,83758,59866,105730,14686,75613,133541,109383,90832,68519
33,97879,83930,8019,21577,44314,32296,106623,15418,83933,66550,539,59695,59784,83372,27118,75689,59863,113879,49170,68396
34,40537,60664,38657,136870,45285,5777,43980,39682,67753,10399,70107,37966,22276,1496,38686,72580,91842,16307,82090,55378
35,105160,94694,44583,82817,114770,100788,83475,43503,44211,8140,54390,98393,57390,88669,26659,51775,89460,65726,85848,59903
36,21715,140655,92535,85577,20269,109075,77839,23867,45191,26128,66493,96834,9733,109969,17363,3082,19950,23154,44073,24682
37,71784,85697,132942,43201,38446,112380,124068,107390,44852,30268,19271,49274,106331,58183,31520,77395,86077,46074,89484,53279
38,80147,48590,28705,38492,4279,51516,90137,80023,133726,28526,69968,35492,121494,111429,58123,99835,86568,46075,79874,20712
39,101782,60044,61546,106480,77239,111805,49661,36046,35491,106512,66711,32813,121565,114840,26328,74946,58178,108734,85496,22996
40,41751,65082,48830,12909,100939,115294,121726,115676,63542,111463,1089,104410,123485,25007,23733,1762,45263,69525,79215,50830
41,82225,68821,104832,141150,63390,36413,26744,126073,10592,26304,8806,11696,113194,108848,30066,75598,89872,87356,116815,19979
42,94477,100458,65227,70048,72623,129404,105491,72458,44158,17162,122891,111224,133756,110190,28306,3029,3835,109349,90553,59928
43,86075,139708,33009,42888,48089,109645,12379,34859,44915,25990,63633,35996,91673,42923,20631,49430,90655,136045,48019,76247
44,106102,57971,61659,69966,115412,93141,58027,6460,34256,12039,54109,97361,108186,130988,19467,96098,88775,35914,89624,52250
45,37179,54226,70022,18423,45260,108284,51047,1135,45130,54415,1020,46792,1557,25487,29505,75260,57024,127971,43788,20868
